comment_id,comment_id_db,issue_key,group_number,body,timestamp,updated_at,author_login,author_name,love,joy,sadness,anger,surprise,fear
13237976,1100391,HADOOP-8193,2,"Good catch, sorry about that. I had run the tests but I guess I didn't re-run on the very latest rev against latest trunk. New patch fixes the NPEs.",2012-03-25T21:34:42.604+0000,2012-03-25T21:34:42.604+0000,tlipcon,Todd Lipcon,0.0,0.0,1.0,,,
12656914,1140055,HADOOP-3344,2,I just committed this.  Thanks Giri!,2008-12-16T08:22:35.717+0000,2008-12-16T08:22:35.717+0000,nidaley,Nigel Daley,1.0,0.33333334,0.0,,,
12582955,1142804,HADOOP-3092,2,"I just committed this. Thanks, Tom!",2008-03-28T09:44:29.124+0000,2008-03-28T09:44:29.124+0000,ddas,Devaraj Das,1.0,0.0,0.0,,,
12754034,1121672,HADOOP-6196,2,"I committed this. Thanks, Jay!",2009-09-11T07:38:17.362+0000,2009-09-11T07:38:17.362+0000,cdouglas,Christopher Douglas,1.0,0.33333334,0.0,,,
12747104,1122021,HADOOP-6152,2,"I have committed this.  Thanks, Aaron!",2009-08-24T22:07:26.697+0000,2009-08-24T22:07:26.697+0000,szetszwo,Tsz-wo Sze,1.0,0.33333334,0.0,,,
12716084,1123624,HADOOP-5762,2,"I have committed this.  Thanks, Rodrigo!",2009-06-03T22:11:36.390+0000,2009-06-03T22:11:36.390+0000,szetszwo,Tsz-wo Sze,1.0,0.33333334,0.0,,,
12696499,1124847,HADOOP-5548,2,I just committed this. Thanks Amareshwari!,2009-04-07T12:17:32.727+0000,2009-04-07T12:17:32.727+0000,sharadag,Sharad Agarwal,1.0,0.33333334,0.0,,,
13620382,1088508,HADOOP-9370,2,"Hi Steve, gentle reminder as per your instructions about reviewing this patch. Thanks!",2013-04-02T22:51:38.142+0000,2013-04-02T22:51:38.142+0000,andrew.wang,Andrew Wang,1.0,0.33333334,0.0,,,
13490802,1092173,HADOOP-9009,2,Thanks Daryn I put this into trunk and branch-2,2012-11-05T18:34:10.020+0000,2012-11-05T18:34:10.020+0000,revans2,Robert Joseph Evans,1.0,0.0,0.0,,,
12683446,1124969,HADOOP-5522,2,"I just committed this. Thanks, Amareshwari!",2009-03-19T12:05:35.301+0000,2009-03-19T12:05:35.301+0000,ddas,Devaraj Das,1.0,0.33333334,0.0,,,
12684023,1125247,HADOOP-5468,2,"I committed this to 0.20 and above.  Thanks, Corinne!",2009-03-20T21:00:16.218+0000,2009-03-20T21:00:16.218+0000,szetszwo,Tsz-wo Sze,1.0,0.33333334,0.0,,,
12679310,1126215,HADOOP-5317,2,"I just committed this, thanks Jothi!",2009-03-05T19:08:09.999+0000,2009-03-05T19:08:09.999+0000,johanoskarsson,Johan Oskarsson,1.0,0.33333334,0.0,,,
12675743,1127962,HADOOP-5052,2,"I committed this. Thanks, Nicholas",2009-02-23T02:52:29.328+0000,2009-02-23T02:52:29.328+0000,cdouglas,Christopher Douglas,1.0,0.0,0.0,,,
