comment_id,comment_id_db,issue_key,group_number,body,timestamp,updated_at,author_login,author_name,love,joy,sadness,anger,surprise,fear
12449632,1066454,HARMONY-2181,2,"Thanks for finding and fixing.
The patch applied at r474719",2006-11-14T10:21:40.000+0000,2006-11-14T10:21:40.000+0000,varlax,Alexey Varlamov,1.0,0.0,0.0,,,
12446909,1067167,HARMONY-2041,2,"It is OK, thanks Stepan.",2006-11-03T11:00:43.000+0000,2006-11-03T11:00:43.000+0000,rusanov,Anton Rusanov,1.0,0.0,0.0,,,
12562381,1045697,HARMONY-5224,2,"Thanks Vasily - the patch was applied to BTI branch 2.0 at r615105.
Please check that the patch was applied as you expected.",2008-01-25T07:13:44.805+0000,2008-01-25T07:13:44.805+0000,smm,Stepan Mishura,1.0,0.0,0.0,,,
12466111,1068751,HARMONY-1767,2,"Mark,

Alexey's right, the original fix was invalid. Please undo all the patches. Sorry.
",2007-01-19T18:11:43.208+0000,2007-01-19T18:11:43.208+0000,vmz,Vasily Zakharov,0.0,0.0,1.0,,,
12438066,1070905,HARMONY-1325,2,"Thanks Tim,
Patch was applied as expected!",2006-09-27T08:37:05.000+0000,2006-09-27T08:37:05.000+0000,ilya.okomin,Ilya Okomin,1.0,0.33333334,0.0,,,
12519687,1058983,HARMONY-3741,2,"Wrong patch, sorry.",2007-08-14T14:12:34.684+0000,2007-08-14T14:12:34.684+0000,mcfirst,Pavel Pervov,0.0,0.0,1.0,,,
12598667,1043375,HARMONY-5791,2,"Thanks, applied OK.",2008-05-21T14:35:27.280+0000,2008-05-21T14:35:27.280+0000,aleksey.shipilev,Aleksey Shipilev,1.0,0.0,0.0,,,
12594074,1044520,HARMONY-5527,2,"Works for me.
Thank you Alexei.",2008-05-04T10:55:36.737+0000,2008-05-04T10:55:36.737+0000,ivstolyarov,Igor V. Stolyarov,1.0,0.33333334,0.0,,,
12560970,1044985,HARMONY-5405,2,"Stepan,

Sorry, I didn't see you comment until I'd committed the change - Sian tested it for me.

I've no idea what the msvcr71.dll issue is - but I don't think that is anything to do with my changes.

The fetch-depends/checksum issue for icu-3.4.zip should be fixed with my patch.
",2008-01-21T09:39:30.707+0000,2008-01-21T09:39:30.707+0000,hindessm,Mark Hindess,0.0,0.0,1.0,,,
12428055,1071509,HARMONY-1183,2,"Hi Paulex,

The fix looks good, thanks!

Best regards,
Andrew",2006-08-15T07:35:15.000+0000,2006-08-15T07:35:15.000+0000,zhanghuangzhu,Zhang Huang Zhu,0.6666667,1.0,0.0,,,
12426111,1072027,HARMONY-1065,2,"Oops, it is my fault. Please defer this patch, I'll raise jira for other classes/interface as its dependance soon, sorry for inconvenience.",2006-08-07T03:38:00.000+0000,2006-08-07T03:38:00.000+0000,purefire,"Jimmy, Jing Lv",0.0,0.0,1.0,,,
12369408,1075917,HARMONY-172,2,Sorry that I think I missed some discussion in the mailing list. The implementation and test and BreakIterator is attached.,2006-03-08T15:27:28.000+0000,2006-03-08T15:27:28.000+0000,paulex,Paulex Yang,0.0,0.0,1.0,,,
12471258,1061916,HARMONY-3130,2,"Fixed at r504842, thanks!",2007-02-08T10:09:39.566+0000,2007-02-08T10:09:39.566+0000,varlax,Alexey Varlamov,1.0,0.33333334,0.0,,,
12504598,1049580,HARMONY-4155,2,Would you please try the patch? Thanks very much!,2007-06-14T08:34:29.909+0000,2007-06-14T08:34:29.909+0000,kelvinye,Kelvin Ye,1.0,0.33333334,0.0,,,
12501875,1049906,HARMONY-4064,2,"Please try this patch.
Thanks a lot!",2007-06-06T09:54:52.860+0000,2007-06-06T09:54:52.860+0000,roberthurui,Robert Hu,1.0,0.33333334,0.0,,,
12545856,1065232,HARMONY-2457,2,"Thanks Anton.

Fix applied to ACCESSIBILITY module at repo revision r598652.

Please check it is fixed as you expected.
",2007-11-27T14:38:55.412+0000,2007-11-27T14:38:55.412+0000,tellison,Tim Ellison,1.0,0.0,0.0,,,
