comment_id,comment_id_db,issue_key,group_number,body,timestamp,updated_at,author_login,author_name,love,joy,sadness,anger,surprise,fear
13841327,813251,HIVE-5887,2,"Committed to trunk. Thanks, Sergey!",2013-12-06T14:58:10.209+0000,2013-12-06T14:58:10.209+0000,ashutoshc,Ashutosh Chauhan,1.0,0.33333334,0.0,,,
13826347,813418,HIVE-5844,2,"Committed to trunk. Thanks, Prasanth!",2013-11-19T09:43:37.939+0000,2013-11-19T09:43:37.939+0000,ashutoshc,Ashutosh Chauhan,1.0,0.33333334,0.0,,,
13799193,814982,HIVE-5548,2,Thank you for the patch Xuefu! I have committed it to trunk!,2013-10-18T15:27:57.518+0000,2013-10-18T15:27:57.518+0000,brocknoland,Brock Noland,1.0,0.33333334,0.0,,,
13791611,815364,HIVE-5490,2,"Committed to trunk. Thanks, Teddy!",2013-10-10T16:01:55.110+0000,2013-10-10T16:01:55.110+0000,ashutoshc,Ashutosh Chauhan,1.0,0.33333334,0.0,,,
13793699,815415,HIVE-5485,2,"Committed to trunk. Thanks, Sushanth!",2013-10-13T16:27:26.569+0000,2013-10-13T16:27:26.569+0000,ashutoshc,Ashutosh Chauhan,1.0,0.33333334,0.0,,,
13790144,815513,HIVE-5476,2,"Committed to trunk. Thanks, Sushanth!",2013-10-09T07:55:26.480+0000,2013-10-09T07:55:26.480+0000,ashutoshc,Ashutosh Chauhan,1.0,0.33333334,0.0,,,
13547072,828832,HIVE-3789,2,"Committed to trunk and 0.9 branch. Thanks, Arup!",2013-01-08T18:12:59.699+0000,2013-01-08T18:12:59.699+0000,ashutoshc,Ashutosh Chauhan,1.0,0.33333334,0.0,,,
13493596,829879,HIVE-3651,2,Committed to trunk. Thanks Prasad!,2012-11-08T23:12:42.677+0000,2012-11-08T23:12:42.677+0000,cwsteinbach,Carl Steinbach,1.0,0.33333334,0.0,,,
13486286,830192,HIVE-3610,2,"Committed, thanks Sambavi.",2012-10-29T19:40:48.300+0000,2012-10-29T19:40:48.300+0000,kevinwilfong,Kevin Wilfong,1.0,0.0,0.0,,,
13492081,830782,HIVE-3524,2,"Committed, thanks Maheshwaran.",2012-11-07T02:49:06.271+0000,2012-11-07T02:49:06.271+0000,kevinwilfong,Kevin Wilfong,1.0,0.0,0.0,,,
13461433,830944,HIVE-3497,2,Committed. Thanks Tim,2012-09-23T15:04:37.283+0000,2012-09-23T15:04:37.283+0000,namit,Namit Jain,1.0,0.0,0.0,,,
13236287,836245,HIVE-2773,2,"Committed to trunk. Thanks, Francis!",2012-03-23T02:39:11.866+0000,2012-03-23T02:39:11.866+0000,ashutoshc,Ashutosh Chauhan,1.0,0.33333334,0.0,,,
13141729,838575,HIVE-2510,2,Committed. Thanks Robert!,2011-11-01T23:05:07.726+0000,2011-11-01T23:05:07.726+0000,nzhang,Ning Zhang,1.0,0.33333334,0.0,,,
13124447,838881,HIVE-2484,2,"committed, thanks Xiao Li!",2011-10-10T20:11:36.837+0000,2011-10-10T20:11:36.837+0000,he yongqiang,He Yongqiang,1.0,0.33333334,0.0,,,
