comment_id,comment_id_db,issue_key,group_number,body,timestamp,updated_at,author_login,author_name,love,joy,sadness,anger,surprise,fear
12780836,631723,MAPREDUCE-1026,2,"I just committed this. Thanks, Boris!",2009-11-20T23:44:21.868+0000,2009-11-20T23:44:21.868+0000,ddas,Devaraj Das,1.0,0.33333334,0.0,,,
12766140,631844,MAPREDUCE-1010,2,thanks tom....let me see if I can come up with a test case for the LineReader reset. I did forget adding a test case for that.  I probably file that as part of this patch. ,2009-10-15T17:45:07.470+0000,2009-10-15T17:45:07.470+0000,mahadev,Mahadev Konar,1.0,0.0,0.0,,,
12757318,634005,MAPREDUCE-775,2,"I just committed this. Thanks, Omer!",2009-09-18T18:24:58.420+0000,2009-09-18T18:24:58.420+0000,ddas,Devaraj Das,1.0,0.33333334,0.0,,,
13413542,598942,MAPREDUCE-4422,2,Committed to branch-2 and trunk. Thanks Ahmed!,2012-07-13T07:28:05.363+0000,2012-07-13T07:28:05.363+0000,qwertymaniac,Harsh J,1.0,0.33333334,0.0,,,
12966433,622502,MAPREDUCE-2156,2,I just committed this. Thanks Patrick!,2010-12-03T06:00:15.612+0000,2010-12-03T06:00:15.612+0000,dhruba,Dhruba Borthakur,1.0,0.33333334,0.0,,,
12990853,624672,MAPREDUCE-1825,2,I just committed this. Thank you Scott and Priyo.,2011-02-05T00:46:00.109+0000,2011-02-05T00:46:00.109+0000,shv,Konstantin Shvachko,1.0,0.0,0.0,,,
13262022,601669,MAPREDUCE-4102,2,"Sorry looks like we took to long to get to this, the patch no longer applies.  Can you please upmerge to latest?",2012-04-25T20:08:03.147+0000,2012-04-25T20:08:03.147+0000,tgraves,Thomas Graves,0.0,0.0,1.0,,,
13203012,604668,MAPREDUCE-3827,2,I just committed this. Thanks Vinod!,2012-02-08T00:17:48.451+0000,2012-02-08T00:17:48.451+0000,acmurthy,Arun Murthy,1.0,0.33333334,0.0,,,
12830832,627419,MAPREDUCE-1464,2,"I just committed this. Thanks, Jitendra!",2010-02-08T05:08:06.105+0000,2010-02-08T05:08:06.105+0000,ddas,Devaraj Das,1.0,0.33333334,0.0,,,
12805358,628380,MAPREDUCE-1356,2,I've just committed this. Thanks Aaron!,2010-01-27T05:36:00.337+0000,2010-01-27T05:36:00.337+0000,tomwhite,Thomas White,1.0,0.33333334,0.0,,,
12782853,629495,MAPREDUCE-1239,2,"I just committed this to trunk, thanks Owen",2009-11-26T11:43:39.366+0000,2009-11-26T11:43:39.366+0000,gkesavan,Giridharan Kesavan,1.0,0.0,0.0,,,
12789494,629646,MAPREDUCE-1222,2,"+1

I committed this. Thanks, Hong!",2009-12-11T19:51:16.173+0000,2009-12-11T19:51:16.173+0000,cdouglas,Christopher Douglas,1.0,0.33333334,0.0,,,
13084710,617995,MAPREDUCE-2727,2,I just committed this to both trunk and MR-279. Thanks Jeffrey!,2011-08-13T20:27:41.787+0000,2011-08-13T20:27:41.787+0000,acmurthy,Arun Murthy,1.0,0.33333334,0.0,,,
13125022,618655,MAPREDUCE-2668,2,addressed review comments.  Thanks Vinod.,2011-10-11T13:27:40.634+0000,2011-10-11T13:27:40.634+0000,tgraves,Thomas Graves,1.0,0.0,0.0,,,
13035927,619747,MAPREDUCE-2515,2,"Committed to trunk and branch-22. Thanks, Ari!",2011-05-19T01:55:54.094+0000,2011-05-19T01:55:54.094+0000,tlipcon,Todd Lipcon,1.0,0.33333334,0.0,,,
13123164,616183,MAPREDUCE-2876,2,Thanks for the explanation +1 for the patch.,2011-10-07T20:45:34.886+0000,2011-10-07T20:45:34.886+0000,revans2,Robert Joseph Evans,1.0,0.0,0.0,,,
13726810,590787,MAPREDUCE-5428,2,"Thanks, Karthik!  I committed this to trunk, branch-2, and branch-2.1-beta.",2013-08-01T20:07:42.321+0000,2013-08-01T20:07:42.321+0000,jlowe,Jason Darrell Lowe,1.0,0.33333334,0.0,,,
13726646,591329,MAPREDUCE-5352,2,Thanks for taking a look Bikas and Devaraj. Committing this.,2013-08-01T17:40:01.287+0000,2013-08-01T17:40:01.287+0000,sseth,Siddharth Seth,1.0,0.0,0.0,,,
13698069,591356,MAPREDUCE-5351,2,Thanks.  I'll look into this.,2013-07-02T18:24:23.600+0000,2013-07-02T18:24:23.600+0000,sandyr,Sandy Ryza,1.0,0.0,0.0,,,
13558936,594834,MAPREDUCE-4952,2,"Thanks Harsh, good to know.",2013-01-21T17:41:34.090+0000,2013-01-21T17:41:34.090+0000,sandyr,Sandy Ryza,1.0,0.0,0.0,,,
13559748,594865,MAPREDUCE-4949,2,Thanks Sandy. Committed to trunk and branch-2.,2013-01-22T16:29:12.405+0000,2013-01-22T16:29:12.405+0000,tucu00,Alejandro Abdelnur,1.0,0.0,0.0,,,
13195338,605838,MAPREDUCE-3732,2,I just committed this to trunk and branch-0.23. Thanks Arun!,2012-01-28T01:54:04.326+0000,2012-01-28T01:54:04.326+0000,vinodkv,Vinod Kumar Vavilapalli,1.0,0.33333334,0.0,,,
13170679,608690,MAPREDUCE-3487,2,+1. Just committed this to trunk and branch-0.23. Thanks Jason!,2011-12-16T01:52:59.759+0000,2011-12-16T01:52:59.759+0000,vinodkv,Vinod Kumar Vavilapalli,1.0,0.33333334,0.0,,,
